icao_code,name
CYCG,Castlegar/West Kootenay Regional Airport
CYCH,Miramichi Airport
CYCK,Chatham Kent Airport
CYCL,Charlo Airport
CYCN,Cochrane Airport
CYCO,Kugluktuk Airport
CYCQ,Chetwynd Airport
CYCR,Cross Lake (Charlie Sinclair Memorial) Airport
CYCS,Chesterfield Inlet Airport
CYCT,Coronation Airport
CYCW,Chilliwack Airport
CYCY,Clyde River Airport
CYCZ,Fairmont Hot Springs Airport
CYDA,Dawson City Airport
CYDB,Burwash Airport
CYDF,Deer Lake Airport
CYDL,Dease Lake Airport
CYDM,Ross River Airport
CYDN,Dauphin Barker Airport
CYDO,Dolbeau-Saint-Felicien Airport
CYDP,Nain Airport
CYDQ,Dawson Creek Airport
CYEG,Edmonton International Airport
CYEK,Arviat Airport
CYEL,Elliot Lake Municipal Airport
CYEM,Manitoulin East Municipal Airport
CYEN,Estevan Airport
CYER,Fort Severn Airport
CYET,Edson Airport
CYEU,Eureka Airport
CYEV,Inuvik Mike Zubko Airport
CYEY,Amos/Magny Airport
CYFA,Fort Albany Airport
CYFB,Iqaluit Airport
CYFC,Fredericton Airport
CYFE,Forestville Airport
CYFH,Fort Hope Airport
CYFJ,Mont-Tremblant International Airport
CYFO,Flin Flon Airport
CYFR,Fort Resolution Airport
CYFS,Fort Simpson Airport
CYFT,Makkovik Airport
CYGB,Texada Gillies Bay Airport
CYGH,Fort Good Hope Airport
CYGK,Kingston Norman Rogers Airport
CYGL,La Grande Rivière Airport
CYGM,Gimli Industrial Park Airport
CYGO,Gods Lake Narrows Airport
CYGP,Michel-Pouliot Gaspé Airport
CYGQ,Geraldton Greenstone Regional Airport
CYGR,Îles-de-la-Madeleine Airport
CYGT,Igloolik Airport
CYGV,Havre-Saint-Pierre Airport
CYGW,Kuujjuarapik Airport
CYGX,Gillam Airport
CYGZ,Grise Fiord Airport
CYHA,Quaqtaq Airport
CYHB,Hudson Bay Airport
CYHC,Vancouver Harbour Water Aerodrome
CYHD,Dryden Regional Airport
CYHE,Hope Airport / FVRD Regional Airpark
CYHF,Hearst René Fontaine Municipal Airport
CYHH,Nemiscau Airport
CYHI,Ulukhaktok Holman Airport
CYHK,Gjoa Haven Airport
CYHM,John C. Munro Hamilton International Airport
CYHN,Hornepayne Municipal Airport
CYHO,Hopedale Airport
CYHP,Poplar Hill Airport
CYHR,Chevery Airport
CYHT,Haines Junction Airport
CYHU,Montréal / Saint-Hubert Metropolitan Airport
CYHY,Hay River / Merlyn Carter Airport
CYHZ,Halifax / Stanfield International Airport
CYIB,Atikokan Municipal Airport
CYID,Digby / Annapolis Regional Airport
CYIF,St Augustin Airport
CYIK,Ivujivik Airport
CYIO,Pond Inlet Airport
CYIV,Island Lake Airport
CYJA,Jasper Airport
CYJF,Fort Liard Airport
CYJN,St Jean Airport
CYJT,Dymond Airport
CYKA,Kamloops John Moose Fulton Field Regional Airport
CYKC,Collins Bay Airport
CYKD,Aklavik/Freddie Carmichael Airport
CYKF,Region of Waterloo International Airport
CYKG,Kangiqsujuaq (Wakeham Bay) Airport
CYKJ,Key Lake Airport
CYKL,Schefferville Airport
CYKM,Kincardine Municipal Airport
CYKO,Akulivik Airport
CYKP,Ogoki Post Airport
CYKQ,Waskaganish Airport
CYKX,Kirkland Lake Airport
CYKY,Kindersley Airport
CYLA,Aupaluk Airport
CYLB,Lac La Biche Airport
CYLC,Kimmirut Airport
CYLD,Chapleau Airport
CYLH,Lansdowne House Airport
CYLJ,Meadow Lake Airport
CYLK,Lutselk'e Airport
CYLL,Lloydminster Airport
CYLQ,La Tuque Airport
CYLR,Leaf Rapids Airport
